"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Properties","Used as Predicates","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"genus.n.02","Ready","False","False","(biology) taxonomic group containing one or more species","taxonomic_group.n.01,","fungus_genus.n.01,","flammable,                         freezable,","","","","0","3","0"
"geode.n.01","Ready","False","True","(mineralogy) a hollow rock or nodule with the cavity usually lined with crystals","nodule.n.03,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_geodes-0,","geode,","1","1","1"
"geographical_area.n.01","Ready","False","False","a demarcated area of the Earth","region.n.03,","tract.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","13","0"
"geological_formation.n.01","Not Ready","False","False","(geology) the geological features of the earth","object.n.01,","natural_depression.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"gift.n.01","Not Ready","False","False","something acquired without compensation","acquisition.n.02,","present.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"gift_box.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        nextto,                        under,","setting_up_for_an_event-0,                         putting_up_Christmas_decorations_inside-0,                         decorating_outside_for_parties-0,","gift_box,","3","3","3"
"gin.n.01","Substance","False","True","strong liquor flavored with juniper berries","liquor.n.01,","","boilable,                         flammable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","covered,","cleaning_glasses_off_bar-0,","gin,","0","0","1"
"gin__bottle.n.01","Not Ready","True","True","","vessel.n.03,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"ginger.n.02","Substance","False","True","dried ground gingerroot","spice.n.02,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","insource,","make_pumpkin_pie_spice-0,","ginger,","1","1","1"
"ginger.n.03","Ready","False","True","pungent rhizome of the common ginger plant; used fresh as a seasoning especially in Asian cookery","flavorer.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","ginger_root,","2","2","0"
"ginger__shaker.n.01","Ready","True","True","","container.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         needsOrientation,                         nonSubstance,                         particleApplier,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","inside,                        insource,","make_pumpkin_pie_spice-0,","ginger_shaker,","1","1","1"
"ginger_ale.n.01","Substance","False","True","ginger-flavored carbonated drink","soft_drink.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"ginger_beer.n.01","Substance","False","True","carbonated slightly alcoholic drink flavored with fermented ginger","beverage.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","filled,","make_citrus_punch-0,","ginger_beer,","0","0","1"
"gingerbread.n.01","Ready","False","True","cake flavored with ginger","cake.n.03,","","cookable,                         deformable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rustable,                         scratchable,                         sliceable,                         softBody,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","gingerbread,","1","1","0"
"girdle.n.02","Not Ready","False","True","a band of material around the waist that strengthens a skirt or trousers","band.n.07,","","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"glass.n.01","Not Ready","False","False","a brittle transparent solid with irregular atomic structure","solid.n.01,","safety_glass.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"glass.n.02","Ready","False","False","a container for holding liquids while drinking","container.n.01,","beer_glass.n.01,                         goblet.n.01,                         tumbler.n.02,                         water_glass.n.02,                         shot_glass.n.01,                         wineglass.n.01,","disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","48","0"
"glass_lantern.n.01","Ready","True","True","","lantern.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","putting_up_Christmas_decorations_outside-0,                         clean_soot_from_glass_lanterns-0,","glass_lantern,","7","7","2"
"glassware.n.01","Not Ready","False","True","an article of tableware made of glass","tableware.n.01,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"glaze.n.01","Substance","False","True","any of various thin shiny (savory or sweet) coatings applied to foods","topping.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","covered,                        insource,                        filled,","cook_a_ham-0,                         glaze_a_ham-0,","glaze,","0","0","2"
"glaze__bottle.n.01","Ready","True","True","","vessel.n.03,","","breakable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleSource,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","inside,                        insource,","cook_a_ham-0,","glaze_bottle,","1","1","1"
"glitter.n.01","Substance","False","True","the quality of shining with a bright reflected light","brightness.n.01,","","freezable,                         substance,                         visualSubstance,","","","","0","0","0"
"globe.n.03","Ready","False","True","a sphere on which a map (especially of the earth) is represented","sphere.n.02,                         model.n.04,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","unloading_shopping_items-0,                         set_up_a_preschool_classroom-0,","globe,","3","3","2"
"globule.n.01","Substance","False","False","a small globe or ball","ball.n.03,","bubble.n.01,","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"glove.n.02","Ready","False","False","handwear: covers the hand and wrist","handwear.n.01,","rubber_glove.n.01,                         kid_glove.n.01,                         batting_glove.n.01,                         goalkeeper_gloves.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        ontop,                        covered,","putting_away_cleaning_supplies-0,                         clean_garden_gloves-0,                         cleaning_garden_tools-0,                         buy_used_gardening_equipment-0,                         clean_a_bicycle_chain-0,                         sorting_volunteer_materials-0,","","0","11","6"
"glue_stick.n.01","Ready","True","True","","implement.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","glue_stick,","1","1","0"
"goal.n.03","Ready","False","False","game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points","game_equipment.n.01,","basket.n.03,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"goalkeeper_gloves.n.01","Ready","True","True","","glove.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_your_goal_keeper_gloves-0,                         wash_goalkeeper_gloves-0,","goalkeeper_gloves,","2","2","2"
"goblet.n.01","Ready","False","True","a drinking glass with a base and stem","glass.n.02,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","filled,                        ontop,                        inside,                        contains,","make_a_mojito-0,                         setup_a_garden_party-0,","chalice,                         cocktail_glass,                         goblet,","3","3","2"
"goggles.n.02","Ready","True","True","","optical_instrument.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","goggles,","1","1","0"
"golf_club.n.02","Ready","False","True","golf equipment used by a golfer to hit a golf ball","golf_equipment.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","nextto,                        inside,                        ontop,                        covered,","unpacking_car_for_trip-0,                         clean_a_golf_club-0,","golf_club,","1","1","2"
"golf_equipment.n.01","Ready","False","False","sports equipment used in playing golf","sports_equipment.n.01,","golf_club.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"gooseberry.n.02","Ready","False","True","currant-like berry used primarily in jams and jellies","currant.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","gooseberry,","1","1","0"
"gourd.n.02","Ready","False","True","any of numerous inedible fruits with hard rinds","fruit.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_gourds-0,","gourd,","4","4","1"
"governor.n.02","Not Ready","False","False","a control that maintains a steady speed in a machine (as by controlling the supply of fuel)","control.n.09,","timer.n.03,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","","0","0","0"
"gown.n.05","Ready","False","True","outerwear consisting of a long flowing garment used for official or ceremonial occasions","outerwear.n.01,","","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","ceremonial_robe,","1","1","0"
"graduate.n.02","Ready","False","False","a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts","measuring_instrument.n.01,","graduated_cylinder.n.01,","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"graduated_cylinder.n.01","Ready","False","True","a cylindrical graduate","graduate.n.02,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","graduated_cylinder,","1","1","0"
"grain.n.02","Ready","False","False","foodstuff prepared from the starchy grains of cereal grasses","foodstuff.n.02,","quinoa.n.01,                         cooked__oat.n.01,                         cooked__quinoa.n.01,                         wheat.n.02,                         oat.n.02,                         rice.n.01,                         cooked__wheat.n.01,                         corn.n.03,","freezable,","","","","0","16","0"
"gramineous_plant.n.01","Substance","False","False","cosmopolitan herbaceous or woody plants with hollow jointed stems and long narrow leaves","herb.n.01,","grass.n.01,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","1","0"
"grandfather_clock.n.01","Ready","False","True","a pendulum clock enclosed in a tall narrow case","pendulum_clock.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         sceneObject,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","grandfather_clock,","3","3","0"
"granola.n.01","Substance","False","True","cereal made of especially rolled oats with dried fruits and nuts and honey or brown sugar","cold_cereal.n.01,","","cookable,                         freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","filled,                        contains,                        future,                        real,","make_a_chia_breakfast_bowl-0,                         make_granola-0,","granola,","0","0","2"
"granola__box.n.01","Ready","True","True","","container.n.01,","","disinfectable,                         dustyable,                         fillable,                         flammable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        filled,","make_a_chia_breakfast_bowl-0,","granola_box,","1","1","1"
"granola_bar.n.01","Ready","False","True","cookie bar made of granola","cookie.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","prepare_an_emergency_school_kit-0,                         stash_snacks_in_your_room-0,","granola_bar,","1","1","2"
"granulated_salt.n.01","Substance","True","True","","flavorer.n.01,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","filled,                        covered,                        contains,","shoveling_snow-0,                         filling_salt-0,","granulated_salt,","1","1","2"
"granulated_sugar.n.01","Substance","False","True","sugar in the form of small grains","sugar.n.01,","","freezable,                         meltable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","filled,                        covered,                        contains,                        real,","make_cake_mix-0,                         make_hot_cocoa-0,                         make_chocolate_syrup-0,                         baking_cookies_for_the_PTA_bake_sale-0,                         make_pizza_dough-0,                         make_cookie_dough-0,                         make_waffles-0,                         make_limeade-0,                         make_dessert_watermelons-0,                         baking_sugar_cookies-0,                       ...","granulated_sugar,","1","1","34"
"granulated_sugar__jar.n.01","Ready","True","True","","vessel.n.03,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        filled,","make_strawberries_and_cream-0,","granulated_sugar_jar,","1","1","1"
"granulated_sugar__sack.n.01","Ready","True","True","","bag.n.01,","","disinfectable,                         dustyable,                         fillable,                         flammable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","filled,                        inside,                        ontop,","make_dessert_watermelons-0,                         roast_nuts-0,                         make_a_mojito-0,                         make_baked_pears-0,                         making_a_drink-0,                         preserving_fruit-0,","granulated_sugar_sack,","1","1","6"
"grape.n.01","Ready","False","True","any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters","edible_fruit.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        covered,","wash_fruit_and_vegetables-0,                         wash_grapes-0,","grape,","4","4","2"
"grapefruit.n.02","Ready","False","True","large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half","citrus.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","grapefruit,","1","1","0"
"graphic_art.n.01","Ready","False","False","the arts of drawing or painting or printmaking","art.n.01,","painting.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","40","0"
"grass.n.01","Substance","False","False","narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay","gramineous_plant.n.01,","cereal.n.01,                         bunchgrass.n.01,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","1","0"
"grate.n.01","Ready","False","True","a frame of iron bars to hold a fire","framework.n.03,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","firewood_grate,","1","1","0"
"grated_cheese.n.01","Substance","False","True","hard or semihard cheese grated","cheese.n.01,","","flammable,                         freezable,                         macroPhysicalSubstance,                         meltable,                         physicalSubstance,                         substance,","filled,                        covered,                        contains,","make_pizza-0,                         make_nachos-0,                         make_tacos-0,                         making_a_snack-0,                         make_burrito_bowls-0,                         make_macaroni_and_cheese-0,","grated_cheese,","1","1","6"
"grated_cheese__sack.n.01","Ready","True","True","","bag.n.01,","","disinfectable,                         dustyable,                         fillable,                         flammable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","filled,                        inside,","make_burrito_bowls-0,","grated_cheese_sack,","1","1","1"
"grater.n.01","Ready","False","True","utensil with sharp perforations for shredding foods (as vegetables or cheese)","kitchen_utensil.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","grater,","1","1","0"
"gravel.n.01","Substance","False","True","rock fragments and pebbles","rock.n.02,","","freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"gravestone.n.01","Ready","False","True","a stone that is used to mark a grave","memorial.n.03,                         stone.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_a_gravestone-0,","headstone,","1","1","1"
"gravy.n.01","Substance","False","True","a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats","sauce.n.01,","","boilable,                         cookable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","covered,                        filled,                        contains,","putting_roast_in_oven-0,                         serving_food_at_a_homeless_shelter-0,","gravy,","0","0","2"
"gravy_boat.n.01","Ready","False","True","a dish (often boat-shaped) for serving gravy or sauce","dish.n.01,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        filled,","serving_food_at_a_homeless_shelter-0,","gravy_boat,","2","2","1"
"grease.n.01","Substance","False","True","a thick fatty oil (especially one used to lubricate machinery)","oil.n.01,","","flammable,                         freezable,                         substance,                         visualSubstance,","covered,","clean_a_bicycle_chain-0,                         clean_skateboard_bearings-0,","grease,","9","9","2"
"green_bean.n.01","Ready","False","True","immature bean pod eaten as a vegetable","fresh_bean.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","cooked,                        ontop,                        covered,                        inside,","cook_green_beans-0,                         clean_green_beans-0,                         saute_vegetables-0,","green_bean,","5","5","3"
"green_onion.n.01","Ready","False","True","a young onion before the bulb has enlarged; eaten in salads","onion.n.03,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        cooked,","make_nachos-0,                         cook_beef_and_onions-0,                         make_garlic_mushrooms-0,","green_onion,","4","4","3"
"green_tea.n.01","Substance","False","True","tea leaves that have been steamed and dried without fermenting","tea.n.05,","","cookable,                         freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","filled,","make_green_tea_latte-0,                         store_loose_leaf_tea-0,","green_tea,","1","1","2"
"green_tea_latte.n.01","Substance","True","True","","beverage.n.01,","","boilable,                         cookable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","future,                        real,                        contains,","make_green_tea_latte-0,","green_tea_latte,","0","0","1"
"greenery.n.01","Ready","False","True","green foliage","leaf.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","greenery,","1","1","0"
"greens.n.01","Ready","False","False","any of various leafy plants or their leaves and stems eaten as vegetables","vegetable.n.01,","salad_green.n.01,                         half__chard.n.01,                         cooked__diced__spinach.n.01,                         chard.n.02,                         diced__spinach.n.01,                         half__spinach.n.01,                         diced__chard.n.01,                         cooked__diced__chard.n.01,                         spinach.n.02,","freezable,","","","","0","26","0"
"griddle.n.01","Ready","False","True","cooking utensil consisting of a flat heated surface (as on top of a stove) on which food is cooked","cooking_utensil.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_a_grill_pan-0,                         warm_tortillas-0,                         cook_arepas-0,                         cook_bacon-0,","griddle,","1","1","4"
"grill.n.02","Ready","False","True","a framework of metal bars used as a partition or a grate","framework.n.03,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         heatSource,                         moldyable,                         nonSubstance,                         openable,                         rigidBody,                         rustable,                         sceneObject,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","ontop,                        covered,","grill_vegetables-0,                         cook_zucchini-0,                         cook_lamb-0,                         grill_burgers-0,                         cleaning_barbecue_grill-0,                         cleaning_up_branches_and_twigs-0,                         cook_kabobs-0,                         cook_peppers-0,                         clean_a_broiler_pan-0,                         shoveling_coal-0,                       ...","charcoal_grill,                         grill,                         smoker,","13","13","11"
