id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
1028,can_of_oatmeal,can_of_oatmeal,can__of__oatmeal.n.01,1,,0.500,0.500,0.500,,,0.500,,
1029,jar_of_orange_sauce,jar_of_orange_sauce,jar__of__orange_sauce.n.01,1,,0.500,1.000,0.700,,,0.733,,
1030,box_of_apple_juice,box_of_apple_juice,box__of__apple_juice.n.01,1,,1.000,1.500,2.000,,,1.500,,
1031,bag_of_cream_cheese,bag_of_cream_cheese,bag__of__cream_cheese.n.01,1,,0.200,0.500,1.000,,,0.567,,
1032,bag_of_ice_cream,bag_of_ice_cream,bag__of__ice_cream.n.01,1,,0.500,1.000,1.500,,,1.000,,
1033,bottle_of_lemonade,bottle_of_lemonade,bottle__of__lemonade.n.01,1,,0.500,1.500,1.200,,,1.067,,
1034,bottle_of_papaya_juice,bottle_of_papaya_juice,bottle__of__papaya_juice.n.01,1,,1.000,1.500,1.000,,,1.167,,
1035,bottle_of_soy_milk,bottle_of_soy_milk,bottle__of__soy_milk.n.01,1,,1.000,1.000,1.200,,,1.067,,
1036,bottle_of_tonic,bottle_of_tonic,bottle__of__tonic.n.01,1,,0.500,1.500,1.000,,,1.000,,
1037,box_of_ice_cream,box_of_ice_cream,box__of__ice_cream.n.01,1,,0.500,1.000,2.000,,,1.167,,
1038,box_of_salt,box_of_salt,box__of__salt.n.01,1,,0.500,1.300,0.500,,,0.767,,
1039,can_of_icetea,can_of_icetea,can__of__icetea.n.01,1,,0.300,0.350,0.350,,,0.333,,
1040,carton_of_milk,carton_of_milk,carton__of__milk.n.01,1,,1.000,1.000,1.890,,,1.297,,
1041,carton_of_orange_juice,carton_of_orange_juice,carton__of__orange_juice.n.01,1,,1.000,1.000,1.890,,,1.297,,
1042,carton_of_pineapple_juice,carton_of_pineapple_juice,carton__of__pineapple_juice.n.01,1,,1.000,1.000,1.890,,,1.297,,
1043,pack_of_chocolate_bar,pack_of_chocolate_bar,pack__of__chocolate_bar.n.01,1,,,0.100,0.450,,,0.275,,
1044,bottle_of_coconut_water,bottle_of_coconut_water,bottle__of__coconut_water.n.01,1,,0.500,1.000,1.000,,,0.833,,
1045,box_of_cream,box_of_cream,box__of__cream.n.01,1,,0.500,0.300,0.500,,,0.433,,
1046,bottle_of_fruit_punch,bottle_of_fruit_punch,bottle__of__fruit_punch.n.01,1,,0.500,1.500,1.200,,,1.067,,
1047,bottle_of_lotion,bottle_of_lotion,bottle__of__lotion.n.01,1,,0.300,0.200,0.300,,,0.267,,
1048,bag_of_popcorn,bag_of_popcorn,bag__of__popcorn.n.01,1,,0.200,0.300,0.500,,,0.333,,
1049,boxed_cake,boxed_cake,boxed__cake.n.01,1,,0.500,0.500,0.500,,,0.500,,
1050,box_of_champagne,box_of_champagne,box__of__champagne.n.01,1,,1.500,1.500,9.000,,,4.000,,
1051,box_of_rum,box_of_rum,box__of__rum.n.01,1,,1.000,1.000,1.000,,,1.000,,
1052,box_of_whiskey,box_of_whiskey,box__of__whiskey.n.01,1,,1.000,1.000,8.500,,,3.500,,
1053,box_of_wine,box_of_wine,box__of__wine.n.01,1,,1.500,1.500,3.000,,,2.000,,
1054,box_of_butter,box_of_butter,box__of__butter.n.01,1,,0.454,0.500,0.227,,,0.394,,
1055,carton_of_soy_milk,carton_of_soy_milk,carton__of__soy_milk.n.01,1,,1.018,1.000,1.890,,,1.303,,
1056,carton_of_chocolate_milk,carton_of_chocolate_milk,carton__of__chocolate_milk.n.01,1,,1.018,1.000,1.030,,,1.016,,
1057,box_of_coffee,box_of_coffee,box__of__coffee.n.01,1,,0.454,0.454,0.500,,,0.469,,
1058,pack_of_ramen,pack_of_ramen,pack__of__ramen.n.01,1,,0.085,0.085,0.120,,,0.097,,
1059,bottle_of_rum,bottle_of_rum,bottle__of__rum.n.01,1,,1.500,1.400,1.000,,,1.300,,
1060,bottle_of_soda,bottle_of_soda,bottle__of__soda.n.01,1,,0.591,1.000,1.200,,,0.930,,
1061,bottle_of_tea,bottle_of_tea,bottle__of__tea.n.01,1,,0.591,1.000,1.000,,,0.864,,
1062,box_of_vegetable_juice,box_of_vegetable_juice,box__of__vegetable_juice.n.01,1,,0.907,1.000,1.000,,,0.969,,
1063,shampoo_dispenser,shampoo_dispenser,shampoo__dispenser.n.01,1,,,1.200,0.500,,,0.850,,
1064,conditioner_dispenser,conditioner_dispenser,conditioner__dispenser.n.01,1,,,1.200,0.500,,,0.850,,
1065,bag_of_tea,bag_of_tea,bag__of__tea.n.01,1,,0.227,0.100,0.250,,,0.192,,
1066,wrapped_hamburger,wrapped_hamburger,wrapped_hamburger.n.01,1,,0.113,0.150,0.150,,,0.138,,
1067,bottle_of_mustard,bottle_of_mustard,bottle__of__mustard.n.01,1,,0.283,0.454,0.250,,,0.329,,
1068,isopropanol_dispenser,isopropanol_dispenser,isopropanol__dispenser.n.01,1,,,1.000,0.500,,,0.750,,
1069,bottle_of_cooking_oil,bottle_of_cooking_oil,bottle__of__cooking_oil.n.01,1,,0.907,0.946,0.920,,,0.924,,
1070,can_of_tomato_paste,can_of_tomato_paste,can__of__tomato_paste.n.01,1,,0.156,0.156,0.170,,,0.161,,
1071,roof,roof,roof.n.01,1,,10.000,0.000,"1,000.000",,,336.667,,
1072,bottle_of_shampoo,bottle_of_shampoo,bottle__of__shampoo.n.01,1,,0.591,0.500,0.400,,,0.497,,
1073,bottle_of_vinegar,bottle_of_vinegar,bottle__of__vinegar.n.01,1,,0.946,1.000,1.000,,,0.982,,
1074,glue_stick,glue_stick,glue_stick.n.01,1,,0.020,0.020,0.020,,,0.020,,
1075,bottle_of_glue,bottle_of_glue,bottle__of__glue.n.01,1,,0.473,0.150,0.500,,,0.374,,
1076,spray_can,spray_can,aerosol.n.02,1,,,0.250,0.500,,,0.375,,
1077,hamper,hamper,hamper.n.02,1,,,1.000,2.000,,,1.500,,
1078,volleyball,volleyball,volleyball.n.02,1,,0.260,0.270,0.260,,,0.263,,
1079,loin,loin,loin.n.01,1,,2.268,2.000,3.000,,,2.423,,
1080,air_filter,air_filter,air_filter.n.01,1,,,0.500,1.000,,,0.750,,
1081,air_freshener_atomizer,air_freshener_atomizer,air_freshener__atomizer.n.01,1,,,0.250,0.500,,,0.375,,
1082,bottle_of_alfredo_sauce,bottle_of_alfredo_sauce,bottle__of__alfredo_sauce.n.01,1,,0.454,0.700,1.300,,,0.818,,
1083,alga,alga,alga.n.01,1,,,0.010,0.200,,,0.105,,
1084,box_of_almond_milk,box_of_almond_milk,box__of__almond_milk.n.01,1,,1.018,1.000,1.890,,,1.303,,
1085,bottle_of_antihistamines,bottle_of_antihistamines,bottle__of__antihistamines.n.01,1,,0.113,0.150,0.500,,,0.254,,
1086,bottle_of_apple_cider,bottle_of_apple_cider,bottle__of__apple_cider.n.01,1,,1.500,1.000,1.200,,,1.233,,
1087,arepa,arepa,arepa.n.01,1,,,0.100,0.100,,,0.100,,
1088,bottle_of_aspirin,bottle_of_aspirin,bottle__of__aspirin.n.01,1,,0.113,0.150,0.500,,,0.254,,
1089,bottle_of_baby_oil,bottle_of_baby_oil,bottle__of__baby_oil.n.01,1,,0.453,0.200,0.900,,,0.518,,
1090,box_of_baking_powder,box_of_baking_powder,box__of__baking_powder.n.01,1,,0.227,0.230,0.230,,,0.229,,
1091,box_of_baking_soda,box_of_baking_soda,box__of__baking_soda.n.01,1,,0.454,0.454,0.230,,,0.379,,
1092,box_of_barley,box_of_barley,box__of__barley.n.01,1,,0.907,0.454,0.900,,,0.754,,
1093,can_of_bay_leaves,can_of_bay_leaves,can__of__bay_leaves.n.01,1,,0.028,0.050,0.100,,,0.059,,
1094,bird_feeder,bird_feeder,bird_feeder.n.01,1,,,1.500,1.500,,,1.500,,
1095,bottle_of_bleach_agent,bottle_of_bleach_agent,bottle__of__bleach_agent.n.01,1,,1.500,3.780,1.200,,,2.160,,
1096,bag_of_breadcrumbs,bag_of_breadcrumbs,bag__of__breadcrumbs.n.01,1,,0.454,0.230,0.500,,,0.395,,
1097,broccolini,broccolini,broccolini.n.01,1,,0.200,0.200,0.300,,,0.233,,
1098,bag_of_brown_rice,bag_of_brown_rice,bag__of__brown_rice.n.01,1,,1.000,1.000,1.000,,,1.000,,
1099,cactus,cactus,cactus.n.01,1,,10.000,5.000,0.800,,,5.267,,
1100,calendar,calendar,calendar.n.01,1,,0.500,0.300,0.250,,,0.350,,
1101,cashew,cashew,cashew.n.02,1,,0.050,0.010,0.005,,,0.022,,
1102,catalog,catalog,catalog.n.01,1,,0.500,0.600,1.000,,,0.700,,
1103,bottle_of_caulk,bottle_of_caulk,bottle__of__caulk.n.01,1,,1.000,0.400,0.500,,,0.633,,
1104,cd,cd,compact_disk.n.01,1,,0.020,0.015,0.020,,,0.018,,
1105,centerpiece,centerpiece,centerpiece.n.02,1,,2.000,2.000,1.000,,,1.667,,
1106,charger,charger,charger.n.02,1,,0.100,0.200,0.200,,,0.167,,
1107,cheesecake,cheesecake,cheesecake.n.01,1,,1.000,2.500,2.500,,,2.000,,
1108,bouillon_cube,bouillon_cube,bouillon_cube.n.01,1,,0.010,0.010,0.010,,,0.010,,
1109,chicken_tender,chicken_tender,chicken_tender.n.01,1,,0.100,0.050,0.100,,,0.083,,
1110,chicken_wire,chicken_wire,chicken_wire.n.01,1,,5.000,3.000,10.000,,,6.000,,
1111,chickpea,chickpea,chickpea.n.03,1,,0.050,0.010,0.008,,,0.023,,
1112,bottle_of_chocolate_sauce,bottle_of_chocolate_sauce,bottle__of__chocolate_sauce.n.01,1,,1.000,0.500,1.000,,,0.833,,
1113,cilantro,cilantro,coriander.n.03,1,,0.200,0.050,0.050,,,0.100,,
1114,sliced_lemon,sliced_lemon,sliced__lemon.n.01,1,,0.100,0.060,0.020,,,0.060,,
1115,bottle_of_cleaner,bottle_of_cleaner,bottle__of__cleaner.n.01,1,,1.000,1.500,1.000,,,1.167,,
1116,bottle_of_cocoa,bottle_of_cocoa,bottle__of__cocoa.n.01,1,,1.000,0.600,0.500,,,0.700,,
1117,box_of_coconut_milk,box_of_coconut_milk,box__of__coconut_milk.n.01,1,,0.500,1.000,1.890,,,1.130,,
1118,bottle_of_coconut_milk,bottle_of_coconut_milk,bottle__of__coconut_milk.n.01,1,,0.500,1.200,0.900,,,0.867,,
1119,bottle_of_coconut_oil,bottle_of_coconut_oil,bottle__of__coconut_oil.n.01,1,,1.000,0.920,0.920,,,0.947,,
1120,copper_wire,copper_wire,copper_wire.n.01,1,,0.100,0.015,0.100,,,0.072,,
1121,bottle_of_cranberry_juice,bottle_of_cranberry_juice,bottle__of__cranberry_juice.n.01,1,,1.000,1.400,1.100,,,1.167,,
1122,bottle_of_skin_cream,bottle_of_skin_cream,bottle__of__skin_cream.n.01,1,,1.000,0.200,0.300,,,0.500,,
1123,bottle_of_chili_pepper,bottle_of_chili_pepper,bottle__of__chili_pepper.n.01,1,,1.000,0.150,0.500,,,0.550,,
1124,jar_of_cumin,jar_of_cumin,jar__of__cumin.n.01,1,,0.200,0.180,0.300,,,0.227,,
1125,jar_of_curry_powder,jar_of_curry_powder,jar__of__curry_powder.n.01,1,,0.200,0.200,0.300,,,0.233,,
1126,bottle_of_degreaser,bottle_of_degreaser,bottle__of__degreaser.n.01,1,,1.000,0.950,1.000,,,0.983,,
1127,jar_of_dill_seed,jar_of_dill_seed,jar__of__dill_seed.n.01,1,,0.200,0.050,0.250,,,0.167,,
1128,doll,doll,doll.n.01,1,,0.500,0.500,0.500,,,0.500,,
1129,bottle_of_essential_oil,bottle_of_essential_oil,bottle__of__essential_oil.n.01,1,,0.100,0.150,0.500,,,0.250,,
1130,bottle_of_fabric_softener,bottle_of_fabric_softener,bottle__of__fabric_softener.n.01,1,,1.000,1.800,1.200,,,1.333,,
1131,bottle_of_face_cream,bottle_of_face_cream,bottle__of__face_cream.n.01,1,,1.000,0.250,0.200,,,0.483,,
1132,bottle_of_fennel,bottle_of_fennel,bottle__of__fennel.n.01,1,,1.000,0.150,0.100,,,0.417,,
1133,bag_of_fertilizer,bag_of_fertilizer,bag__of__fertilizer.n.01,1,,5.000,25.000,25.000,,,18.333,,
1134,bottle_of_frosting,bottle_of_frosting,bottle__of__frosting.n.01,1,,1.000,0.500,0.450,,,0.650,,
1135,bottle_of_ginger,bottle_of_ginger,bottle__of__ginger.n.01,1,,1.000,0.200,0.300,,,0.500,,
1136,bottle_of_glass_cleaner,bottle_of_glass_cleaner,bottle__of__glass_cleaner.n.01,1,,1.000,1.200,1.000,,,1.067,,
1137,bottle_of_ground_cloves,bottle_of_ground_cloves,bottle__of__ground_cloves.n.01,1,,0.100,0.150,0.250,,,0.167,,
1138,bottle_of_ground_mace,bottle_of_ground_mace,bottle__of__ground_mace.n.01,1,,0.100,0.150,0.250,,,0.167,,
1139,bottle_of_ground_nutmeg,bottle_of_ground_nutmeg,bottle__of__ground_nutmeg.n.01,1,,0.100,0.150,0.250,,,0.167,,
1140,bottle_of_conditioner,bottle_of_conditioner,bottle__of__conditioner.n.01,1,,1.000,0.900,0.900,,,0.933,,
1141,icicle_lights,icicle_lights,icicle_lights.n.01,1,,0.500,0.500,2.000,,,1.000,,
1142,kabob,kabob,kabob.n.01,1,,0.200,0.200,0.150,,,0.183,,
1143,skiff,skiff,skiff.n.01,1,,200.000,50.000,120.000,,,123.333,,
1144,farm_stand,farm_stand,farm_stand.n.01,1,,,60.000,200.000,,,130.000,,
1145,sourdough,sourdough,sour_bread.n.01,1,,,1.000,0.500,,,0.750,,
1146,toast,toast,toast.n.01,1,,,0.050,0.035,,,0.043,,
1147,hamburger_bun,hamburger_bun,hamburger_bun.n.01,1,,,0.075,0.050,,,0.063,,
1148,fruitcake,fruitcake,fruitcake.n.02,1,,,2.000,1.200,,,1.600,,
1149,digital_camera,digital_camera,digital_camera.n.01,1,,,0.500,0.500,,,0.500,,
1150,pillar_candle,pillar_candle,pillar_candle.n.01,1,,,0.750,0.700,,,0.725,,
1151,cedar_chest,cedar_chest,cedar_chest.n.01,1,,,25.000,40.000,,,32.500,,
1152,key,key,key.n.01,1,,,0.020,0.050,,,0.035,,
1153,bottle_of_lacquer,bottle_of_lacquer,bottle__of__lacquer.n.01,1,,,0.600,0.750,,,0.675,,
1154,bottle_of_lavender_oil,bottle_of_lavender_oil,bottle__of__lavender_oil.n.01,1,,,0.150,0.500,,,0.325,,
1155,leaf,leaf,entire_leaf.n.01,1,,,0.002,0.005,,,0.004,,
1156,leaf_blower,leaf_blower,leaf_blower.n.01,1,,,3.600,3.500,,,3.550,,
1157,leek,leek,leek.n.02,1,,,0.100,0.100,,,0.100,,
1158,legging,legging,legging.n.01,1,,,0.200,0.150,,,0.175,,
1159,leotard,leotard,leotard.n.01,1,,,0.200,0.200,,,0.200,,
1160,chocolate_chip_cookie,chocolate_chip_cookie,chocolate_chip_cookie.n.01,1,,,0.025,0.015,,,0.020,,
1161,chocolate_biscuit,chocolate_biscuit,chocolate_biscuit.n.01,1,,,0.020,0.025,,,0.023,,
1162,butter_cookie,butter_cookie,butter_cookie.n.01,1,,,0.020,0.020,,,0.020,,
1163,bottle_of_sour_cream,bottle_of_sour_cream,bottle__of__sour_cream.n.01,1,,,0.500,0.300,,,0.400,,
1164,cookie_dough,cookie_dough,cookie_dough.n.01,1,,,1.500,0.500,,,1.000,,
1165,chocolate_cake,chocolate_cake,chocolate_cake.n.01,1,,,2.500,2.200,,,2.350,,
1166,cinnamon_roll,cinnamon_roll,cinnamon_roll.n.01,1,,,0.075,0.085,,,0.080,,
1167,clothes_dryer,clothes_dryer,clothes_dryer.n.01,1,,,50.000,50.000,,,50.000,,
1168,rubber_eraser,rubber_eraser,rubber_eraser.n.01,1,,,0.020,0.020,,,0.020,,
1169,license_plate,license_plate,license_plate.n.01,1,,,0.300,0.500,,,0.400,,
1170,sliced_lime,sliced_lime,sliced__lime.n.01,1,,,0.030,0.015,,,0.023,,
1171,lock,lock,lock.n.01,1,,,0.300,0.500,,,0.400,,
1172,water_faucet,water_faucet,water_faucet.n.01,1,,,1.500,2.500,,,2.000,,
1173,skyrocket,skyrocket,skyrocket.n.02,1,,,0.200,0.100,,,0.150,,
1174,national_flag,national_flag,national_flag.n.01,1,,,1.000,0.500,,,0.750,,
1175,canteen,canteen,canteen.n.01,1,,,0.350,1.000,,,0.675,,
1176,bottle_of_lubricant,bottle_of_lubricant,bottle__of__lubricant.n.01,1,,,0.500,0.500,,,0.500,,
1177,lunch_box,lunch_box,lunch_box.n.01,1,,,0.300,0.500,,,0.400,,
1178,mac_and_cheese,mac_and_cheese,macaroni_and_cheese.n.01,1,,,0.500,0.250,,,0.375,,
1179,lily,lily,lily.n.01,1,,,0.200,0.100,,,0.150,,
1180,macaron,macaron,macaroon.n.01,1,,,0.020,0.030,,,0.025,,
1181,mail,mail,mail.n.04,1,,,0.100,0.050,,,0.075,,
1182,mallet,mallet,mallet.n.01,1,,,1.000,0.800,,,0.900,,
1183,bottle_of_maple_syrup,bottle_of_maple_syrup,bottle__of__maple_syrup.n.01,1,,,1.360,1.000,,,1.180,,
1184,marigold,marigold,marigold.n.01,1,,,0.100,0.100,,,0.100,,
1185,bottle_of_mayonnaise,bottle_of_mayonnaise,bottle__of__mayonnaise.n.01,1,,,0.910,0.890,,,0.900,,
1186,rubber_glove,rubber_glove,rubber_glove.n.01,1,,,0.040,0.100,,,0.070,,
1187,bunchgrass,bunchgrass,bunchgrass.n.01,1,,,0.500,0.500,,,0.500,,
1188,sliced_melon,sliced_melon,sliced__melon.n.01,1,,,0.500,0.250,,,0.375,,
1189,bottle_of_milkshake,bottle_of_milkshake,bottle__of__milkshake.n.01,1,,,0.600,0.500,,,0.550,,
1190,bottle_of_cold_cream,bottle_of_cold_cream,bottle__of__cold_cream.n.01,1,,,0.500,0.500,,,0.500,,
1191,bottle_of_molasses,bottle_of_molasses,bottle__of__molasses.n.01,1,,,1.430,1.360,,,1.395,,
1192,money,money,money.n.01,1,,,0.010,0.001,,,0.006,,
1193,mop,mop,swab.n.02,1,,,2.000,2.000,,,2.000,,
1194,mop_bucket,mop_bucket,mop_bucket.n.01,1,,,1.000,2.000,,,1.500,,
1195,mousepad,mousepad,mousepad.n.01,1,,,0.100,0.070,,,0.085,,
1196,bottle_of_mustard_seeds,bottle_of_mustard_seeds,bottle__of__mustard_seeds.n.01,1,,,0.750,0.450,,,0.600,,
1197,bottle_of_oil,bottle_of_oil,bottle__of__oil.n.01,1,,,0.910,0.900,,,0.905,,
1198,sliced_onion,sliced_onion,sliced__onion.n.01,1,,,0.150,0.025,,,0.088,,
1199,bottle_of_onion_powder,bottle_of_onion_powder,bottle__of__onion_powder.n.01,1,,,0.500,0.200,,,0.350,,
1200,storage_organizer,storage_organizer,storage_organizer.n.01,1,,,10.000,2.000,,,6.000,,
1201,bottle_of_paint_remover,bottle_of_paint_remover,bottle__of__paint_remover.n.01,1,,,1.000,1.000,,,1.000,,
1202,virginia_ham,virginia_ham,virginia_ham.n.01,1,,,5.000,3.500,,,4.250,,
1203,serving_cart,serving_cart,serving_cart.n.01,1,,,15.000,22.000,,,18.500,,
1204,jar_of_pepper,jar_of_pepper,jar__of__pepper.n.01,1,,,0.200,0.500,,,0.350,,
1205,ruby,ruby,ruby.n.01,1,,,0.001,0.030,,,0.016,,
1206,parer,parer,parer.n.02,1,,,0.100,0.080,,,0.090,,
1207,buttermilk_pancake,buttermilk_pancake,buttermilk_pancake.n.01,1,,,0.080,0.045,,,0.063,,
1208,penne,penne,penne.n.01,1,,,0.010,0.005,,,0.008,,
1209,conchiglie,conchiglie,conchiglie.n.01,1,,,0.010,0.010,,,0.010,,
1210,ravioli,ravioli,ravioli.n.01,1,,,0.030,0.050,,,0.040,,
1211,bottle_of_black_pepper,bottle_of_black_pepper,bottle__of__black_pepper.n.01,1,,,0.500,0.500,,,0.500,,
1212,sliced_papaya,sliced_papaya,sliced__papaya.n.01,1,,,0.300,0.030,,,0.165,,
1213,bottle_of_paprika,bottle_of_paprika,bottle__of__paprika.n.01,1,,,0.500,0.200,,,0.350,,
1214,bottle_of_peanut_butter,bottle_of_peanut_butter,bottle__of__peanut_butter.n.01,1,,,0.500,0.500,,,0.500,,
1215,pecan,pecan,pecan.n.03,1,,,0.005,0.010,,,0.008,,
1216,peppermint_candy,peppermint_candy,peppermint.n.03,1,,,0.010,0.005,,,0.008,,
1217,bottle_of_pesticide,bottle_of_pesticide,bottle__of__pesticide.n.01,1,,,1.000,1.000,,,1.000,,
1218,pine_nut,pine_nut,pine_nut.n.01,1,,,0.001,0.001,,,0.001,,
1219,pipe,pipe,pipe.n.02,1,,,2.000,2.500,,,2.250,,
1220,toy_figure,toy_figure,toy_figure.n.01,1,,,0.050,0.080,,,0.065,,
1221,swimming_pool,swimming_pool,swimming_pool.n.01,1,,20.000,0.000,"1,000,000.000",,,333340.000,,
1222,shoe_rack,shoe_rack,shoe_rack.n.01,1,,,5.000,7.000,,,6.000,,
1223,whiskey_stone,whiskey_stone,whiskey_stone.n.01,1,,,0.030,0.050,,,0.040,,
1224,boulder,boulder,boulder.n.01,1,,1.000,0.000,"1,000.000",,,333.667,,
1225,bottle_of_pizza_sauce,bottle_of_pizza_sauce,bottle__of__pizza_sauce.n.01,1,,,0.500,0.500,,,0.500,,
1226,jar_of_bath_salt,jar_of_bath_salt,jar__of__bath_salt.n.01,1,,,1.000,1.500,,,1.250,,
1227,club_sandwich,club_sandwich,club_sandwich.n.01,1,,,0.200,0.250,,,0.225,,
1228,pack_of_kielbasa,pack_of_kielbasa,pack__of__kielbasa.n.01,1,,,1.000,0.600,,,0.800,,
1229,ripsaw,ripsaw,ripsaw.n.01,1,,,1.000,0.700,,,0.850,,
1230,chainsaw,chainsaw,chain_saw.n.01,1,,,7.000,7.000,,,7.000,,
1231,shears,shears,shears.n.01,1,,,0.200,0.300,,,0.250,,
1232,dress_shirt,dress_shirt,dress_shirt.n.01,1,,,0.300,0.200,,,0.250,,
1233,bottle_of_poppy_seeds,bottle_of_poppy_seeds,bottle__of__poppy_seeds.n.01,1,,,0.500,0.300,,,0.400,,
1234,postage_stamp,postage_stamp,postage.n.02,1,,,0.000,0.001,,,0.001,,
1235,bottle_of_seasoning,bottle_of_seasoning,bottle__of__seasoning.n.01,1,,,0.500,0.200,,,0.350,,
1236,power_washer,power_washer,power_washer.n.01,1,,,7.500,9.000,,,8.250,,
1237,pruner,pruner,pruner.n.02,1,,,1.000,0.700,,,0.850,,
1238,bottle_of_pumpkin_pie_spice,bottle_of_pumpkin_pie_spice,bottle__of__pumpkin_pie_spice.n.01,1,,,0.500,0.300,,,0.400,,
1239,pumpkin_seed,pumpkin_seed,pumpkin_seed.n.01,1,,0.000,0.001,0.001,,,0.001,,
1240,quiche,quiche,quiche.n.02,1,,0.750,0.500,0.700,,,0.650,,
1241,receipt,receipt,receipt.n.02,1,,0.000,0.001,0.001,,,0.001,,
1242,bottle_of_sage,bottle_of_sage,bottle__of__sage.n.01,1,,0.250,0.200,0.200,,,0.217,,
1243,bottle_of_salsa,bottle_of_salsa,bottle__of__salsa.n.01,1,,0.500,0.680,0.500,,,0.560,,
1244,bottle_of_disinfectant,bottle_of_disinfectant,bottle__of__disinfectant.n.01,1,,0.500,1.100,1.000,,,0.867,,
1245,saxophone,saxophone,sax.n.02,1,,3.000,2.500,2.500,,,2.667,,
1246,scoop,scoop,scoop.n.06,1,,0.500,0.150,0.200,,,0.283,,
1247,octopus,octopus,octopus.n.01,1,,0.500,0.300,0.300,,,0.367,,
1248,bottle_of_sealant,bottle_of_sealant,bottle__of__sealant.n.01,1,,0.500,1.000,1.000,,,0.833,,
1249,bottle_of_sesame_oil,bottle_of_sesame_oil,bottle__of__sesame_oil.n.01,1,,0.500,0.900,0.500,,,0.633,,
1250,bottle_of_sesame_seeds,bottle_of_sesame_seeds,bottle__of__sesame_seeds.n.01,1,,0.500,0.350,0.300,,,0.383,,
1251,shiitake,shiitake,shiitake.n.01,1,,0.100,0.025,0.020,,,0.048,,
1252,sieve,sieve,sieve.n.01,1,,0.250,0.200,0.250,,,0.233,,
1253,bottle_of_soy_sauce,bottle_of_soy_sauce,bottle__of__soy_sauce.n.01,1,,0.500,1.000,1.000,,,0.833,,
1254,soybean,soybean,soy.n.04,1,,0.000,0.000,0.200,,,0.067,,
1255,bottle_of_paint,bottle_of_paint,bottle__of__paint.n.01,1,,0.500,2.500,1.000,,,1.333,,
1257,squeegee,squeegee,squeegee.n.01,1,,0.250,0.150,0.250,,,0.217,,
1258,bottle_of_sriracha,bottle_of_sriracha,bottle__of__sriracha.n.01,1,,0.500,0.680,0.700,,,0.627,,
1259,stake,stake,stake.n.05,1,,1.000,2.000,1.500,,,1.500,,
1260,staple,staple,staple.n.05,1,,0.000,0.000,0.001,,,0.000,,
1261,bag_of_starch,bag_of_starch,bag__of__starch.n.01,1,,0.500,1.000,2.500,,,1.333,,
1262,bottle_of_solvent,bottle_of_solvent,bottle__of__solvent.n.01,1,,0.500,1.000,1.000,,,0.833,,
1263,sugar_cube,sugar_cube,lump_sugar.n.01,1,,0.000,0.003,0.004,,,0.002,,
1264,bottle_of_supplements,bottle_of_supplements,bottle__of__supplements.n.01,1,,0.500,0.500,0.500,,,0.500,,
1265,bottle_of_almond_oil,bottle_of_almond_oil,bottle__of__almond_oil.n.01,1,,0.500,0.900,1.000,,,0.800,,
1266,tablecloth,tablecloth,tablecloth.n.01,1,,1.000,1.000,0.700,,,0.900,,
1267,box_of_takeout,box_of_takeout,box__of__takeout.n.01,1,,1.000,1.000,0.500,,,0.833,,
1268,tank,tank,tank.n.02,1,,"5,000.000","30,000.000",800.000,,,11933.333,,
1269,bottle_of_tea_leaves,bottle_of_tea_leaves,bottle__of__tea_leaves.n.01,1,,0.250,0.200,0.300,,,0.250,,
1270,bottle_of_tequila,bottle_of_tequila,bottle__of__tequila.n.01,1,,1.500,1.400,1.500,,,1.467,,
1271,sliced_tomato,sliced_tomato,sliced__tomato.n.01,1,,0.150,0.100,0.015,,,0.088,,
1272,bag_of_snacks,bag_of_snacks,bag__of__snacks.n.01,1,,0.500,0.500,0.500,,,0.500,,
1273,turkey,turkey,turkey.n.04,1,,6.000,7.000,"5,000.000",,,1671.000,,
1274,tweezers,tweezers,tweezers.n.01,1,,0.050,0.030,0.030,,,0.037,,
1275,van,van,van.n.05,1,,"2,000.000","3,000.000","3,500.000",,,2833.333,,
1276,vegetable_peeler,vegetable_peeler,peeler.n.03,1,,0.100,0.080,0.100,,,0.093,,
1277,wheelbarrow,wheelbarrow,barrow.n.03,1,,15.000,20.000,15.000,,,16.667,,
1278,whetstone,whetstone,whetstone.n.01,1,,0.500,0.500,0.500,,,0.500,,
1279,whistle,whistle,whistle.n.04,1,,0.050,0.020,0.030,,,0.033,,
1280,wind_chime,wind_chime,wind_chime.n.01,1,,0.500,1.000,1.000,,,0.833,,
1281,wood_chip,wood_chip,wood_chip.n.01,1,,0.000,0.002,0.010,,,0.004,,
1282,bag_of_yeast,bag_of_yeast,bag__of__yeast.n.01,1,,0.250,0.500,0.250,,,0.333,,
1283,yoga_mat,yoga_mat,yoga_mat.n.01,1,,2.000,1.500,1.200,,,1.567,,
1284,wooden_spoon,wooden_spoon,wooden_spoon.n.02,1,,0.100,0.080,0.050,,,0.077,,
1285,tablespoon,tablespoon,tablespoon.n.02,1,,0.050,0.020,0.050,,,0.040,,
1286,taboret,taboret,taboret.n.01,1,,2.000,2.000,3.000,,,2.333,,
1287,echeveria_elegans,echeveria_elegans,echeveria_elegans.n.01,1,,0.500,0.500,0.500,,,0.500,,
1288,crewneck_sweater,crewneck_sweater,crewneck_sweater.n.01,1,,0.500,0.500,0.500,,,0.500,,
